Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[-0.247049, 0.088635, 0.964941]","[-0.517592, 0.260979, 0.814855]","[-0.634219, 0.389193, 0.668054]","[-0.294933, 0.173136, -0.939701]","[-0.091312, 0.003587, -0.995816]","[-0.119451, -0.017886, -0.992679]","[0.074459, 0.059935, -0.995421]","[-0.716038, -0.256427, -0.649258]","[-0.356399, 0.676246, -0.644726]","[0.655769, 0.606121, -0.450093]","[-0.665552, 0.736697, 0.119655]"
"[-0.196740, 0.045388, 0.979405]","[-0.356078, 0.239606, 0.903215]","[-0.508670, 0.285292, 0.812320]","[-0.249487, 0.189684, -0.949619]","[-0.086620, 0.031294, -0.995750]","[-0.032454, -0.129742, -0.991017]","[0.016390, 0.056947, -0.998243]","[-0.805665, -0.151412, -0.572694]","[-0.372439, 0.643335, -0.668887]","[0.717468, 0.593459, -0.364754]","[-0.400305, 0.888290, 0.225161]"
"[-0.149148, 0.034706, 0.988206]","[-0.184274, 0.167914, 0.968426]","[-0.442122, 0.150438, 0.884249]","[-0.193864, 0.245576, -0.949794]","[-0.095504, 0.019828, -0.995231]","[0.061954, -0.203796, -0.977051]","[-0.028955, 0.033350, -0.999024]","[-0.859983, -0.121745, -0.495588]","[-0.465503, 0.625585, -0.626059]","[0.731461, 0.637828, -0.241123]","[-0.188695, 0.832705, 0.520574]"
"[-0.113725, 0.039385, 0.992731]","[-0.051660, 0.052286, 0.997295]","[-0.367405, 0.050597, 0.928684]","[-0.171112, 0.275432, -0.945969]","[-0.132448, -0.012181, -0.991115]","[0.173400, -0.261674, -0.949452]","[-0.074467, 0.053014, -0.995813]","[-0.906219, -0.107605, -0.408888]","[-0.578445, 0.594374, -0.558678]","[0.787165, 0.614465, -0.052959]","[0.063500, 0.784858, 0.616414]"
"[-0.094409, -0.038186, 0.994801]","[0.026765, -0.052897, 0.998241]","[-0.306855, -0.038010, 0.950997]","[-0.169479, 0.285466, -0.943285]","[-0.190098, -0.017811, -0.981603]","[0.271143, -0.334669, -0.902484]","[-0.094685, 0.108900, -0.989533]","[-0.926696, 0.006892, -0.375750]","[-0.574498, 0.639443, -0.510946]","[0.806563, 0.585698, 0.080092]","[0.234476, 0.674761, 0.699799]"
"[-0.085217, -0.143971, 0.985906]","[0.097254, -0.152122, 0.983565]","[-0.235582, -0.092215, 0.967470]","[-0.148155, 0.288476, -0.945955]","[-0.260853, -0.032085, -0.964845]","[0.395855, -0.336611, -0.854396]","[-0.094933, 0.131408, -0.986772]","[-0.885320, 0.299443, -0.355728]","[-0.427967, 0.786241, -0.445724]","[0.816946, 0.542476, 0.195750]","[0.413835, 0.562518, 0.715761]"
"[-0.073426, -0.227462, 0.971015]","[0.168950, -0.181257, 0.968815]","[-0.190972, -0.133657, 0.972453]","[-0.151620, 0.258001, -0.954173]","[-0.292706, -0.038475, -0.955428]","[0.487631, -0.279617, -0.827061]","[-0.079963, 0.131237, -0.988121]","[-0.850549, 0.407787, -0.332079]","[-0.378007, 0.843101, -0.382480]","[0.829799, 0.475287, 0.292464]","[0.473651, 0.518006, 0.712268]"
"[-0.052760, -0.270988, 0.961136]","[0.225769, -0.163640, 0.960339]","[-0.191007, -0.147971, 0.970372]","[-0.194890, 0.199013, -0.960423]","[-0.303710, -0.036040, -0.952083]","[0.521702, -0.231970, -0.820985]","[-0.084000, 0.074053, -0.993710]","[-0.843128, 0.441735, -0.306602]","[-0.333841, 0.866058, -0.372148]","[0.846826, 0.381329, 0.370775]","[0.534599, 0.490825, 0.687965]"
"[-0.030429, -0.266341, 0.963398]","[0.243773, -0.153148, 0.957664]","[-0.204572, -0.212468, 0.955515]","[-0.223428, 0.182408, -0.957501]","[-0.312700, -0.073362, -0.947015]","[0.532528, -0.174376, -0.828256]","[-0.090297, -0.020801, -0.995698]","[-0.835079, 0.474466, -0.278435]","[-0.249062, 0.877017, -0.410864]","[0.860591, 0.312990, 0.401773]","[0.562580, 0.468157, 0.681419]"
"[0.008166, -0.236759, 0.971534]","[0.232559, -0.126975, 0.964258]","[-0.199943, -0.267393, 0.942615]","[-0.246893, 0.205863, -0.946924]","[-0.331004, -0.150453, -0.931558]","[0.503575, -0.119471, -0.855651]","[-0.104271, -0.084083, -0.990988]","[-0.834480, 0.487490, -0.256897]","[-0.264465, 0.874079, -0.407485]","[0.859863, 0.266748, 0.435294]","[0.601632, 0.435199, 0.669807]"
